ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento
28,Owner,East Jonathan,Tv,2400,22,2023-11-20T00:00:00Z,Daniel Garcia,edward94@example.org,001419330387387349,USS Fuller FPO AA 30334,efectivo,Entregado,Producto defectuoso,21
20,Education,Trujillofort,Spring,600,18,2023-01-04T00:00:00Z,Larry Welch,powersjimmy@example.org,1753175834,"03346 Tony Spring Apt. 633 Ericberg, AK 73272",efectivo,Entregado,Producto defectuoso,87
25,Strategy,Nguyenshire,Group,900,28,2023-05-05T00:00:00Z,Kelsey Lopez,estesjon@example.org,8572628794,"493 Cameron Ramp Veronicatown, MI 81010",efectivo,En camino,Producto defectuoso,12
9,Present,South Thomas,Budget,700,27,2023-06-28T00:00:00Z,Sharon Lowe,estesjon@example.org,001594337542187814,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",efectivo,Entregado,Producto defectuoso,28
9,Song,New Reginaldmouth,At,200,29,2023-07-08T00:00:00Z,Alan Bird,edward94@example.org,001-236-332-5014x39284,"30768 Louis Mill Lake Carmen, LA 47934",tarjeta,Entregado,Producto defectuoso,14
5,Wait,Valerietown,Whom,1300,27,2023-06-28T00:00:00Z,Crystal Chambers,estesjon@example.org,8572628794,"283 Cynthia Groves Apt. 671 Weavermouth, ID 06739",efectivo,Entregado,Producto defectuoso,19
21,Under,Lindaport,Whom,1300,14,2023-07-10T00:00:00Z,David Norton,powersjimmy@example.org,8572628794,"9978 Kenneth Plaza Suite 069 Monicafurt, NM 39529",efectivo,Entregado,Producto defectuoso,72
10,Democratic,Milesburgh,Leader,200,11,2023-06-06T00:00:00Z,Michelle Mitchell,estesjon@example.org,2805046212,"30768 Louis Mill Lake Carmen, LA 47934",tarjeta,Entregado,Producto defectuoso,19
19,Door,Jodichester,Budget,300,22,2023-06-17T00:00:00Z,Alan Bird,ydavid@example.com,110559261937727,"915 Mathis Camp Apt. 447 Thomastown, MS 44338",tarjeta,Entregado,Sin comentario,27
17,Door,East Jonathan,Individual,300,25,2023-07-25T00:00:00Z,Lisa Stafford,rdaugherty@example.net,8708608083698,USS Fuller FPO AA 30334,tarjeta,Entregado,Sin comentario,12
29,Trade,Valerietown,Individual,300,27,2023-04-14T00:00:00Z,Juan Manning,matthew29@example.com,848-723-3346,"664 Berger RapidSouth Suzanne, WV 68526",efectivo,Entregado,Producto defectuoso,27
23,Kitchen,New Reginaldmouth,Job,3000,16,2023-09-13T00:00:00Z,Dr. Monica Woods,edward94@example.org,339100428204920,"233 Peterson Canyon Tranmouth, ND 40770",tarjeta,En camino,Sin comentario,19
1,Operation,East Josephland,Individual,200,11,2023-05-06T00:00:00Z,Andrew Mitchell,paul49@example.net,1753175834,"93043 Kiara Crossroad Port Amandachester, WI 16919",efectivo,Entregado,Sin comentario,83
20,Trade,Lindaport,Still,300,23,2023-10-15T00:00:00Z,karl Cardenas,rbrown@example.org,6864990991,"30768 Louis Mill Lake Carmen, LA 47934",efectivo,En camino,Sin comentario,88
5,Present,East Brittany,Matter,200,28,2022-12-04T00:00:00Z,Adam Mueller,paul02@example.com,621875126511205,"664 Berger RapidSouth Suzanne, WV 68526",tarjeta,Entregado,Producto defectuoso,28
20,Present,South Timothyberg,North,300,11,2023-05-06T00:00:00Z,Sean Mitchell,ydavid@example.com,557.193.8141,"915 Mathis Camp Apt. 447 Thomastown, MS 44338",tarjeta,Entregado,Producto defectuoso,49
4,Present,North Brittney,Budget,1100,23,2023-11-20T00:00:00Z,andrew Mitchell,briangonzales@example.net,110559261937727,"18235 Carl Garden Apt. 025 Lake Miranda, LA 16737",tarjeta,Entregado,Sin comentario,54
24,Present,North Brittney,Budget,2100,23,2023-03-22T00:00:00Z,Roger Stephens,steelejulian@example.net,0013389556200,"2644 Gonzalez Mills Apt. 856 Port Frank, IN 25816",efectivo,Entregado,Producto defectuoso,74
26,Professor,East Janicemouth,Matter,700,21,2023-01-14T00:00:00Z,sean Mitchell,eric24@example.com,001594337542187814,"18235 Carl Garden Apt. 025 Lake Miranda, LA 16737",tarjeta,En camino,Sin comentario,38
12,Professor,Nguyenshire,Leader,700,30,2023-09-23T00:00:00Z,Charles Williams,sandersbeth@example.org,641-800-6599x2234,"664 Berger RapidSouth Suzanne, WV 68526",tarjeta,Entregado,Producto defectuoso,25
30,Operation,East Janicemouth,Pay,1500,10,2023-08-27T00:00:00Z,Dr. Monica Woods,parkerandrew@example.org,2661673098,"18235 Carl Garden Apt. 025 Lake Miranda, LA 16737",tarjeta,Entregado,Sin comentario,74
11,Food,North Jasmine,Budget,2100,10,2023-07-15T00:00:00Z,Kelsey Lopez,powersjimmy@example.org,8572628794,"18235 Carl Garden Apt. 025 Lake Miranda, LA 16737",efectivo,En camino,Producto defectuoso,53
19,Up,East Brittany,Tv,900,22,2023-02-09T00:00:00Z,Jennifer Holmes,estesjon@example.org,001419330387387349,"664 Berger RapidSouth Suzanne, WV 68526",tarjeta,En camino,Producto defectuoso,27
17,Involve,North Jasmine,Set,600,22,2023-02-09T00:00:00Z,Dr. Monica Woods,wwilson@example.org,0013389556200,"664 Berger RapidSouth Suzanne, WV 68526",efectivo,Entregado,Producto defectuoso,43
30,Present,Larrychester,Spring,2100,28,2023-03-13T00:00:00Z,Robert Bryant,wwilson@example.org,848-723-3346,"91315 Simpson Fork Apt. 336 South Mark, GA 64860",tarjeta,Entregado,Producto defectuoso,24
23,Food,East Leah,Individual,200,22,2023-03-22T00:00:00Z,Kelsey Lopez,paul02@example.com,6864990991,"7474 Sean Pine Frazierchester, OK 57469",efectivo,Entregado,Producto defectuoso,87
17,Six,East Josephland,Despite,900,21,2023-09-13T00:00:00Z,Benjamin Chan,david09@example.com,8572628794,"37970 Hudson Falls Downshaven, PA 58533",tarjeta,Entregado,Sin comentario,28
15,Wait,New Reginaldmouth,Set,1300,29,2023-05-05T00:00:00Z,Dr. Monica Woods,lweaver@example.org,6128211834900,"7474 Sean Pine Frazierchester, OK 57469",efectivo,Entregado,Sin comentario,83
21,Trade,South Timothyberg,Grow,700,10,2023-05-06T00:00:00Z,Susan Harvey,matthew29@example.com,1753175834,"03346 Tony Spring Apt. 633 Ericberg, AK 73272",tarjeta,En camino,Sin comentario,30
18,Staff,Port Kelly,Individual,2100,27,2023-08-13T00:00:00Z,Lisa Stafford,estesjon@example.org,2661673098,"67032 Megan Cliffs Suite 876 Loveside, SD 53246",efectivo,Entregado,Producto defectuoso,19
17,Operation,Jessechester,Popular,300,26,2023-09-01T00:00:00Z,Angela Taylor,ydavid@example.com,0010962368217,"67032 Megan Cliffs Suite 876 Loveside, SD 53246",tarjeta,Entregado,Producto defectuoso,88
26,Operation,New Reginaldmouth,Leader,2100,21,2023-06-07T00:00:00Z,Susan Harvey,schmidtkrystal@example.org,001-890-231-3672x1535,"2644 Gonzalez Mills Apt. 856 Port Frank, IN 25816",tarjeta,Entregado,Sin comentario,36
3,Door,Jessechester,Member,1100,25,2023-07-08T00:00:00Z,Susan Harvey,rdaugherty@example.net,001-236-332-5014x39284,"93043 Kiara Crossroad Port Amandachester, WI 16919",tarjeta,En camino,Producto defectuoso,83
9,Up,Nguyenshire,Set,1100,17,2023-05-05T00:00:00Z,Mark Mays,lweaver@example.org,8572628794,"29882 Stein Tunnel Apt. 468 Port Jacquelineville, HI 77063",tarjeta,Entregado,Producto defectuoso,19
